docID,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
1,15,10.19,1.24,1,20.23,15,6.67,60,60,60,6.67,6.67,0,0,0,0,6.67,0,20,13.33,0,0,13.33,0,13.33,13.33,13.33,0,0,0,0,0,0,26.67,6.67,20,0,6.67,6.67,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0
2,14,18.12,40.06,1,98.65,14,28.57,64.29,57.14,50,7.14,0,0,0,0,0,0,7.14,7.14,0,0,7.14,14.29,0,14.29,0,21.43,0,7.14,7.14,7.14,7.14,0,14.29,0,14.29,0,14.29,0,0,0,0,0,7.14,7.14,0,7.14,7.14,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0
3,1,1,1,1,20.23,1,0,100,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0
4,2,89.52,40.06,1,20.23,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,67,7.22,2.02,90.58,20.23,22.33,11.94,85.07,74.63,58.21,23.88,13.43,10.45,0,0,0,2.99,10.45,19.4,10.45,0,2.99,4.48,7.46,11.94,1.49,20.9,0,0,0,0,0,0,13.43,0,13.43,8.96,5.97,0,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,5.97,2.99,0,0,0,0,2.99,2.99,0,0,0,0,1.49,0,0,1.49,1.49,0,0,1.49,0,0,5.97,0,0,0,0,0,0,0,5.97,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,1.49,0,0,2.99,16.42,2.99,0,0,0,0,0,0,4.48,4.48,0,0,0,0,0
6,60,1,89.5,28.56,45.29,60,6.67,95,78.33,70,16.67,15,3.33,6.67,5,0,0,1.67,11.67,5,0,6.67,18.33,10,15,5,30,0,1.67,11.67,8.33,5,0,21.67,3.33,15,3.33,1.67,6.67,1.67,0,5,0,1.67,1.67,0,1.67,1.67,0,0,0,0,0,13.33,1.67,0,0,0,0,0,11.67,0,0,0,0,0,0,0,0,6.67,1.67,0,3.33,1.67,0,0,0,0,0,0,0,0,0,0,5,0,3.33,5,0,0,0,0,0,16.67,3.33,1.67,1.67,1.67,1.67,0,0,6.67,5,10,6.67,0,0,0,0,0,1.67,1.67,0,0,0,0,0
7,11,45.12,5.27,1,20.23,11,36.36,72.73,72.73,63.64,9.09,9.09,0,0,0,0,9.09,0,27.27,18.18,0,9.09,9.09,0,9.09,18.18,18.18,0,0,0,0,0,0,36.36,9.09,27.27,0,9.09,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,9.09,0
8,24,1.39,94.84,1,83,12,25,83.33,79.17,66.67,20.83,12.5,0,4.17,0,8.33,0,8.33,4.17,4.17,0,8.33,16.67,12.5,8.33,0,20.83,8.33,0,8.33,8.33,4.17,0,12.5,0,12.5,0,4.17,4.17,0,0,4.17,0,12.5,8.33,4.17,4.17,4.17,0,0,0,0,0,20.83,8.33,0,0,0,4.17,0,12.5,0,0,8.33,0,0,0,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,4.17,8.33,0,4.17,4.17,0,0,0,0,12.5,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0
9,44,86.07,17.46,20.79,1,11,25,72.73,59.09,52.27,6.82,4.55,4.55,0,0,0,0,2.27,29.55,25,0,2.27,4.55,9.09,9.09,0,11.36,0,2.27,2.27,0,0,2.27,13.64,2.27,11.36,4.55,4.55,2.27,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,2.27,2.27,0,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,2.27,0,0,9.09,0,0,6.82,2.27,0,0,0,4.55,2.27,0,0,0,0,0,0,11.36,9.09,0,0,0,2.27,0
10,63,37.85,99,1,70.15,7.88,12.7,74.6,61.9,46.03,19.05,17.46,1.59,1.59,3.17,9.52,1.59,1.59,11.11,7.94,1.59,4.76,7.94,3.17,3.17,0,19.05,6.35,3.17,6.35,3.17,3.17,3.17,15.87,3.17,12.7,0,7.94,3.17,0,0,1.59,0,3.17,3.17,0,1.59,1.59,0,0,0,0,0,20.63,3.17,0,0,0,0,1.59,17.46,0,0,0,9.52,0,0,0,0,1.59,1.59,0,0,0,0,6.35,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,3.17,4.76,0,3.17,0,1.59,0,0,1.59,7.94,3.17,0,0,0,0,0,0,12.7,12.7,0,0,0,0,0
